finess;finess_geographique;acte_ccam_phase;nombre_d_actes;duree_moyenne_de_sejour_dms;nombre_sejour_ambulatoire;annee;acte;phase;code_regroupement;regroupement;libelle;tarif_secteur_1_adherent_optam_optam_co;tarif_hors_secteur_1_hors_adherent_optam_optam_co;remboursement_sous_conditions;accord_prealable;tm_exoneration;libelle_mft;siren;telephone;epci;coordonnees;raison_sociale;code_ape;statut_juridique;adresse;raison_sociale_longue;departement;code_insee;siret;type_d_etablissement;commune;region;categorie_d_etablissement;proportion_actes_ambulatoires
2A0000139;2A0000139;HMQJ0020;26.0;3.0;16;2015;HMQJ002;0;ADA/ATM;Actes d'anesthésie/Actes techniques médicaux (hors imagerie);Échoendoscopie biliopancréatique avec biopsie transbiliopancréatique guidée;274.87;274.87;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;61.5384615385
2A0000154;;NFFC0040;17.0;0.470588235294;15;2017;NFFC004;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Méniscectomie latérale ou médiale du genou, par arthroscopie;191.43;181.26;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;88.2352941176
2A0000139;;AHPA0090;128.0;0.09375000000000001;123;2017;AHPA009;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Libération du nerf médian au canal carpien, par abord direct;104.5;104.5;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;96.09375
2A0000139;2A0000139;PAGA0110;43.0;1.6666666666699999;19;2016;PAGA011;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ablation de matériel d'ostéosynthèse des membres sur un site, par abord direct;112.73;82.94;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;44.1860465116
2A0000139;2A0000139;HPJB0010;38.0;5.23529411765;19;2015;HPJB001;0;ATM;Actes techniques médicaux (hors imagerie);Évacuation d'un épanchement intrapéritonéal, par voie transcutanée;19.2;19.2;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;50.0
2B0000392;2B0000392;HHFE0060;67.0;0.507462686567;48;2016;HHFE006;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Séance de mucosectomie rectocolique, par endoscopie;202.03;202.03;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;71.6417910448
2A0000139;2A0000139;MDGA0020;33.0;0.481481481481;24;2015;MDGA002;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ablation de matériel d'ostéosynthèse de la main, par abord direct;92.17;71.01;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;72.7272727273
2A0000154;2A0000154;EBQM0010;59.0;8.20689655172;.;2015;EBQM001;0;ADE;Acte d'échographie;Échographie-doppler des artères cervicocéphaliques extracrâniennes, sans mesure de l'épaisseur de l'intima-média;69.93;69.93;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000139;2A0000139;JDGE0010;111.0;1.81081081081;80;2015;JDGE001;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ablation de calcul ou de corps étranger de la vessie, par endoscopie;139.67;133.68;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;72.0720720721
2A0000139;2A0000139;JCPA0020;11.0;10.9;.;2015;JCPA002;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Libération de l'uretère sans intrapéritonisation, par abord direct;358.05;290.7;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
2B0000392;2B0000392;LMMA0100;14.0;6.8571428571399995;.;2016;LMMA010;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Cure d'éventration postopératoire de la paroi abdominale antérieure sans pose de prothèse, par abord direct;201.87;201.87;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;2A0000154;MJCA0120;21.0;0.35000000000000003;14;2016;MJCA012;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Réparation de plaie de l'appareil extenseur d'un doigt par suture sur un rayon de la main, par abord direct;106.35;105.57;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;66.6666666667
2B0000392;2B0000392;ELQM0020;13.0;2.41666666667;.;2016;ELQM002;0;ADE;Acte d'échographie;Échographie-doppler unilatérale ou bilatérale des vaisseaux des bourses et du cordon spermatique;37.05;37.05;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;;HHQX0070;70.0;2.94285714286;.;2017;HHQX007;0;ATM;Actes techniques médicaux (hors imagerie);Examen anatomopathologique à visée carcinologique de pièce d'appendicectomie;43.05;43.05;;;5.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000139;;HEQE0050;852.0;0.294947121034;790;2017;HEQE005;0;ATM;Actes techniques médicaux (hors imagerie);Endoscopie œso-gastro-duodénale avec test à l'uréase, après l'âge de 6 ans;96.0;96.0;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;92.7230046948
2B0000392;;YYYY0410;54.0;5.61111111111;.;2017;YYYY041;0;ADA/ADA;Actes d'anesthésie/Actes d'anesthésie;Supplément pour récupération peropératoire de sang;;;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;2A0000154;QZQX0040;20.0;0.1;18;2016;QZQX004;0;ATM;Actes techniques médicaux (hors imagerie);Examen anatomopathologique à visée carcinologique d'une pièce d'exérèse de peau et/ou de tissu mou susfascial [susaponévrotique] de moins de 5 cm²;47.55;47.55;;;5.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;90.0
2B0000079;2B0000079;CBLD0030;15.0;0.0;15;2015;CBLD003;0;ATM;Actes techniques médicaux (hors imagerie);Pose unilatérale d'aérateur transtympanique;57.6;57.6;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.34.89.89;CA de Bastia;;CLINIQUE DR FILIPPI;8610Z;;BD B DANESI;CLINIQUE DU DOCTEUR PAUL LAURENT FILIPPI;HAUTE-CORSE;2B033;30509766900017;Etablissement simple;Bastia;CORSE;Etablissement de Soins Chirurgicaux;100.0
2A0000139;2A0000139;JDFE0010;207.0;3.86633663366;12;2016;JDFE001;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Résection de 4 tumeurs de la vessie ou plus, par endoscopie;236.1;207.16;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;5.7971014492799995
2A0000154;2A0000154;HHFA0160;45.0;2.75555555556;.;2016;HHFA016;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Appendicectomie, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie;187.89;183.22;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;
2B0000392;2B0000392;JDFE0010;125.0;5.144;.;2016;JDFE001;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Résection de 4 tumeurs de la vessie ou plus, par endoscopie;236.1;207.16;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2B0000392;;JKFA0250;14.0;3.64285714286;.;2017;JKFA025;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Hystérectomie totale avec colpopérinéorraphie antérieure ou postérieure, par abord vaginal;344.62;318.02;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;;ECQH0110;164.0;7.31875;30;2017;ECQH011;0;ADI;Actes d'imagerie;Scanographie des vaisseaux du thorax et/ou du cœur, avec scanographie des vaisseaux de l'abdomen et/ou du petit bassin [Angioscanner thoracique avec angioscanner de l'abdomen et/ou du pelvis];50.54;50.54;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;18.2926829268
2A0000139;;BCFA0030;21.0;0.0;20;2017;BCFA003;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Exérèse primitive de ptérygion, avec autogreffe de conjonctive ou de muqueuse;106.39;105.59;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;95.2380952381
2A0000154;2A0000154;QZMA0050;32.0;0.21875000000000003;27;2016;QZMA005;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Réparation de perte de substance par lambeau local ou régional cutané, fasciocutané ou ostéocutané, à pédicule vasculaire ou vasculonerveux anatomique, disséqué en îlot;460.85;355.07;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;84.375
2B0000079;2B0000079;BAFA0080;16.0;0.0;16;2015;BAFA008;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Résection bilatérale cutanée, musculaire et/ou graisseuse au niveau des paupières supérieures, par abord cutané;188.1;188.1;RC;;1.0;ARS établissements de santé non financés dotation globale;;04.95.34.89.89;CA de Bastia;;CLINIQUE DR FILIPPI;8610Z;;BD B DANESI;CLINIQUE DU DOCTEUR PAUL LAURENT FILIPPI;HAUTE-CORSE;2B033;30509766900017;Etablissement simple;Bastia;CORSE;Etablissement de Soins Chirurgicaux;100.0
2A0000154;2A0000154;MDGA0020;16.0;0.0666666666667;14;2016;MDGA002;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ablation de matériel d'ostéosynthèse de la main, par abord direct;92.17;71.01;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;87.5
2A0000139;2A0000139;JDQX0020;120.0;4.90756302521;.;2016;JDQX002;0;ATM;Actes techniques médicaux (hors imagerie);Examen histopathologique de fragments d'exérèse endoscopique de la vessie;33.6;33.6;;;5.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000139;2A0000139;JDCA0020;18.0;6.8888888888899995;.;2016;JDCA002;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Cystostomie cutanée, par laparotomie;128.33;127.1;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;2A0000154;NFFC0040;24.0;0.125;22;2015;NFFC004;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Méniscectomie latérale ou médiale du genou, par arthroscopie;191.43;181.26;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;91.6666666667
2A0000139;2A0000139;PAGA0110;53.0;1.31914893617;22;2015;PAGA011;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ablation de matériel d'ostéosynthèse des membres sur un site, par abord direct;112.73;82.94;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;41.5094339623
2A0000154;2A0000154;BFGA0040;128.0;0.0;128;2016;BFGA004;0;;;Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure de l'œil;271.7;271.7;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;100.0
2A0000139;;QZJA0110;14.0;5.84615384615;.;2017;QZJA011;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Évacuation de collection profonde de la peau et des tissus mous, par abord direct;47.5;45.11;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
